employee_name,user_id,Domain,Email,Role
Burton M Stephenson,BMS0001,dtaa.com,Burton.M.Stephenson@dtaa.com,Security
Keelie M Goodwin,KMG0002,dtaa.com,Keelie.M.Goodwin@dtaa.com,Engineer
Dara O Craig,DOC0003,dtaa.com,Dara.O.Craig@dtaa.com,VP
Blossom T Hale,BTH0004,dtaa.com,Blossom.T.Hale@dtaa.com,Technician
Yeo C Bennett,YCB0005,dtaa.com,Yeo.C.Bennett@dtaa.com,Engineer
Tucker H Sims,THS0006,dtaa.com,Tucker.H.Sims@dtaa.com,Senior Manger
Adam X Battle,AXB0007,dtaa.com,Adam.X.Battle@dtaa.com,Engineer
Stephanie L Glover,SLG0008,dtaa.com,Stephanie.L.Glover@dtaa.com,Technician
Brian G Wells,BGW0009,dtaa.com,Brian.G.Wells@dtaa.com,Project Manager
Sophia D Rojas,SDR0010,dtaa.com,Sophia.D.Rojas@dtaa.com,Technician
Lamar C Giles,LCG0011,dtaa.com,Lamar.C.Giles@dtaa.com,Technician
Alvin N Cruz,ANC0012,dtaa.com,Alvin.N.Cruz@dtaa.com,Foreman
Brock C Barber,BCB0013,dtaa.com,Brock.C.Barber@dtaa.com,Administrative Assistant
Vance F Tillman,VFT0014,dtaa.com,Vance.F.Tillman@dtaa.com,Administrative Staff
Cole A Roman,CAR0015,dtaa.com,Cole.A.Roman@dtaa.com,Foreman
Arden J Burris,AJB0016,dtaa.com,Arden.J.Burris@dtaa.com,Administrative Assistant
Thomas L Bush,TLB0017,dtaa.com,Thomas.L.Bush@dtaa.com,Administrative Staff
Nathan K Mcclure,NKM0018,dtaa.com,Nathan.K.Mcclure@dtaa.com,Security
Rylee L Carpenter,RLC0019,dtaa.com,Rylee.L.Carpenter@dtaa.com,Technician
Jane S Eaton,JSE0020,dtaa.com,Jane.S.Eaton@dtaa.com,Tradesman
Kristen R Cantrell,KRC0021,dtaa.com,Kristen.R.Cantrell@dtaa.com,Janitor
Alika F Oneil,AFO0022,dtaa.com,Alika.F.Oneil@dtaa.com,Technician
Adena S Owen,ASO0023,dtaa.com,Adena.S.Owen@dtaa.com,Administrative Staff
Ria I Galloway,RIG0024,dtaa.com,Ria.I.Galloway@dtaa.com,Technician
Sophia H Riddle,SHR0025,dtaa.com,Sophia.H.Riddle@dtaa.com,Of Council
Ahmed R Koch,ARK0026,dtaa.com,Ahmed.R.Koch@dtaa.com,Technician
Lacey V Cain,LVC0027,dtaa.com,Lacey.V.Cain@dtaa.com,Tradesman
Christen M Underwood,CMU0028,dtaa.com,Christen.M.Underwood@dtaa.com,Technician
