employee_name,user_id,Domain,Email,Role
Aaron C Donovan,ACD0647,dtaa.com,Aaron.C.Donovan@dtaa.com,Senior Manger
Abbot R Cherry,ARC0677,dtaa.com,Abbot.R.Cherry@dtaa.com,Security
Abigail C Lancaster,ACL0865,dtaa.com,Abigail.C.Lancaster@dtaa.com,Tradesman
Abigail P Callahan,APC0769,dtaa.com,Abigail.P.Callahan@dtaa.com,Technician
Abra B Logan,ABL0836,dtaa.com,Abra.B.Logan@dtaa.com,Technician
Adam A Holman,AAH0734,dtaa.com,Adam.A.Holman@dtaa.com,Administrative Staff
Adam E Castro,AEC0750,dtaa.com,Adam.E.Castro@dtaa.com,Director
Adam H Velez,AHV0103,dtaa.com,Adam.H.Velez@dtaa.com,Security
Adam X Battle,AXB0007,dtaa.com,Adam.X.Battle@dtaa.com,Engineer
Adara H Delgado,AHD0147,dtaa.com,Adara.H.Delgado@dtaa.com,Tradesman
Addison A Kirk,AAK0924,dtaa.com,Addison.A.Kirk@dtaa.com,Engineer
Adele A Chase,AAC0599,dtaa.com,Adele.A.Chase@dtaa.com,Administrative Staff
Adele M Sloan,AMS0897,dtaa.com,Adele.M.Sloan@dtaa.com,Technician
Adele Q Griffith,AQG0678,dtaa.com,Adele.Q.Griffith@dtaa.com,Technician
Adena A Richards,AAR0508,dtaa.com,Adena.A.Richards@dtaa.com,Engineer
Adena S Owen,ASO0023,dtaa.com,Adena.S.Owen@dtaa.com,Administrative Staff
Adria T Jacobs,ATJ0284,dtaa.com,Adria.T.Jacobs@dtaa.com,Tradesman
Adrian J Cochran,AJC0203,dtaa.com,Adrian.J.Cochran@dtaa.com,Senior Manger
Adrian L West,ALW0834,dtaa.com,Adrian.L.West@dtaa.com,Engineer
Ahmed R Koch,ARK0026,dtaa.com,Ahmed.R.Koch@dtaa.com,Technician
Aidan G Wallace,AGW0182,dtaa.com,Aidan.G.Wallace@dtaa.com,Administrative Assistant
Aiko F Newton,AFN0918,dtaa.com,Aiko.F.Newton@dtaa.com,Technician
Aileen S Roy,ASR0539,dtaa.com,Aileen.S.Roy@dtaa.com,Technician
Aimee Z Christian,AZC0030,dtaa.com,Aimee.Z.Christian@dtaa.com,Technician
Ainsley R Mcpherson,ARM0416,dtaa.com,Ainsley.R.Mcpherson@dtaa.com,Administrative Staff
Akeem F Dodson,AFD0868,dtaa.com,Akeem.F.Dodson@dtaa.com,Security
Akeem R Beach,ARB0050,dtaa.com,Akeem.R.Beach@dtaa.com,Security
Aladdin B Garner,ABG0179,dtaa.com,Aladdin.B.Garner@dtaa.com,Technician
Alana J Curry,AJC0266,dtaa.com,Alana.J.Curry@dtaa.com,Tradesman
Alana L Cruz,ALC0244,dtaa.com,Alana.L.Cruz@dtaa.com,Tradesman
Albert K Pruitt,AKP0173,dtaa.com,Albert.K.Pruitt@dtaa.com,Security
Alden J Chaney,AJC0399,dtaa.com,Alden.J.Chaney@dtaa.com,Security
Alden L Warren,ALW0694,dtaa.com,Alden.L.Warren@dtaa.com,Foreman
Alec D Roy,ADR0219,dtaa.com,Alec.D.Roy@dtaa.com,Security
Alec G Garza,AGG0562,dtaa.com,Alec.G.Garza@dtaa.com,Director
Alexander F Rodgers,AFR0646,dtaa.com,Alexander.F.Rodgers@dtaa.com,Engineer
Alexander R Blackburn,ARB0100,dtaa.com,Alexander.R.Blackburn@dtaa.com,Administrative Staff
Alfonso M Atkinson,AMA0191,dtaa.com,Alfonso.M.Atkinson@dtaa.com,Security
Alfreda A Kelley,AAK0658,dtaa.com,Alfreda.A.Kelley@dtaa.com,Tradesman
Alfreda I Cooley,AIC0321,dtaa.com,Alfreda.I.Cooley@dtaa.com,Technician
Ali K Short,AKS0283,dtaa.com,Ali.K.Short@dtaa.com,Security
Alika F Oneil,AFO0022,dtaa.com,Alika.F.Oneil@dtaa.com,Technician
Alisa A Allen,AAA0371,dtaa.com,Alisa.A.Allen@dtaa.com,Administrative Staff
Allegra M Merrill,AMM0661,dtaa.com,Allegra.M.Merrill@dtaa.com,Tradesman
Allistair B Harper,ABH0963,dtaa.com,Allistair.B.Harper@dtaa.com,Administrative Assistant
Alma E Greene,AEG0905,dtaa.com,Alma.E.Greene@dtaa.com,Engineer
Alma F Harvey,AFH0331,dtaa.com,Alma.F.Harvey@dtaa.com,Tradesman
Alma L Weber,ALW0250,dtaa.com,Alma.L.Weber@dtaa.com,Administrative Staff
Alvin N Cruz,ANC0012,dtaa.com,Alvin.N.Cruz@dtaa.com,Foreman
Amal C Meyers,ACM0061,dtaa.com,Amal.C.Meyers@dtaa.com,Administrative Assistant
Amal K Holder,AKH0067,dtaa.com,Amal.K.Holder@dtaa.com,Administrative Assistant
Amanda R Richard,ARR0878,dtaa.com,Amanda.R.Richard@dtaa.com,Technician
Amaya O Calderon,AOC0511,dtaa.com,Amaya.O.Calderon@dtaa.com,Technician
Amena L Navarro,ALN0201,dtaa.com,Amena.L.Navarro@dtaa.com,Administrative Staff
Amena R George,ARG0405,dtaa.com,Amena.R.George@dtaa.com,Administrative Staff
Amena S Velez,ASV0049,dtaa.com,Amena.S.Velez@dtaa.com,Administrative Staff
Amery I Delacruz,AID0577,dtaa.com,Amery.I.Delacruz@dtaa.com,Foreman
Amir L Knapp,ALK0520,dtaa.com,Amir.L.Knapp@dtaa.com,Technician
Amir R Wade,ARW0541,dtaa.com,Amir.R.Wade@dtaa.com,Engineer
Anastasia M Mccarty,AMM0340,dtaa.com,Anastasia.M.Mccarty@dtaa.com,Tradesman
Andrew J Spencer,AJS0917,dtaa.com,Andrew.J.Spencer@dtaa.com,Senior Manger
Angelica F Greer,AFG0122,dtaa.com,Angelica.F.Greer@dtaa.com,Administrative Staff
Anika R Randall,ARR0758,dtaa.com,Anika.R.Randall@dtaa.com,Administrative Staff
Anika Z Summers,AZS0738,dtaa.com,Anika.Z.Summers@dtaa.com,Director
Anjolie M Anthony,AMA0606,dtaa.com,Anjolie.M.Anthony@dtaa.com,Technician
Ann J Sykes,AJS0978,dtaa.com,Ann.J.Sykes@dtaa.com,Engineer
Aphrodite J Nieves,AJN0804,dtaa.com,Aphrodite.J.Nieves@dtaa.com,Technician
April C Rios,ACR0400,dtaa.com,April.C.Rios@dtaa.com,Administrative Assistant
April G Ferguson,AGF0088,dtaa.com,April.G.Ferguson@dtaa.com,Administrative Staff
April K Meadows,AKM0969,dtaa.com,April.K.Meadows@dtaa.com,Technician
Arden J Burris,AJB0016,dtaa.com,Arden.J.Burris@dtaa.com,Administrative Assistant
Ariel S Cardenas,ASC0132,dtaa.com,Ariel.S.Cardenas@dtaa.com,Tradesman
Armand J Bishop,AJB0370,dtaa.com,Armand.J.Bishop@dtaa.com,Engineer
Armand N Walton,ANW0351,dtaa.com,Armand.N.Walton@dtaa.com,Security
Arsenio B Baldwin,ABB0272,dtaa.com,Arsenio.B.Baldwin@dtaa.com,Loading Dock
Arsenio C Hoover,ACH0803,dtaa.com,Arsenio.C.Hoover@dtaa.com,Administrative Assistant
Arthur J Phillips,AJP0553,dtaa.com,Arthur.J.Phillips@dtaa.com,Administrative Assistant
Arthur W Becker,AWB0828,dtaa.com,Arthur.W.Becker@dtaa.com,Engineer
Ashely R Fox,ARF0269,dtaa.com,Ashely.R.Fox@dtaa.com,Technician
Ashton R Parsons,ARP0948,dtaa.com,Ashton.R.Parsons@dtaa.com,Security
Ashton S Stein,ASS0824,dtaa.com,Ashton.S.Stein@dtaa.com,Senior Manger
Aspen M Holcomb,AMH0101,dtaa.com,Aspen.M.Holcomb@dtaa.com,Tradesman
Athena M Moses,AMM0830,dtaa.com,Athena.M.Moses@dtaa.com,Tradesman
Aubrey B Donovan,ABD0833,dtaa.com,Aubrey.B.Donovan@dtaa.com,Technician
Aubrey E Wolfe,AEW0730,dtaa.com,Aubrey.E.Wolfe@dtaa.com,Administrative Staff
Aubrey F Foster,AFF0760,dtaa.com,Aubrey.F.Foster@dtaa.com,Foreman
Aubrey G Barrett,AGB0091,dtaa.com,Aubrey.G.Barrett@dtaa.com,Foreman
Audrey K Walton,AKW0582,dtaa.com,Audrey.K.Walton@dtaa.com,Administrative Staff
Audrey S Pennington,ASP0799,dtaa.com,Audrey.S.Pennington@dtaa.com,Tradesman
August A Cotton,AAC0344,dtaa.com,August.A.Cotton@dtaa.com,Technician
August L Lancaster,ALL0155,dtaa.com,August.L.Lancaster@dtaa.com,Engineer
Aurelia I Burns,AIB0797,dtaa.com,Aurelia.I.Burns@dtaa.com,Administrative Staff
Aurora J Avila,AJA0220,dtaa.com,Aurora.J.Avila@dtaa.com,Engineer
Aurora J Morris,AJM0302,dtaa.com,Aurora.J.Morris@dtaa.com,Administrative Staff
Aurora R Savage,ARS0993,dtaa.com,Aurora.R.Savage@dtaa.com,IT Admin
Austin K Alexander,AKA0033,dtaa.com,Austin.K.Alexander@dtaa.com,Senior Manger
Autumn A Simon,AAS0709,dtaa.com,Autumn.A.Simon@dtaa.com,Technician
Autumn U Mckinney,AUM0365,dtaa.com,Autumn.U.Mckinney@dtaa.com,Technician
Avram B Sullivan,ABS0726,dtaa.com,Avram.B.Sullivan@dtaa.com,Engineer
Avye H Sellers,AHS0926,dtaa.com,Avye.H.Sellers@dtaa.com,VP
Avye R Richard,ARR0977,dtaa.com,Avye.R.Richard@dtaa.com,Administrative Staff
Axel M Davidson,AMD0432,dtaa.com,Axel.M.Davidson@dtaa.com,Engineer
Axel N Stout,ANS0172,dtaa.com,Axel.N.Stout@dtaa.com,Engineer
Ayanna L Sullivan,ALS0087,dtaa.com,Ayanna.L.Sullivan@dtaa.com,Technician
Barclay C Villarreal,BCV0109,dtaa.com,Barclay.C.Villarreal@dtaa.com,Loading Dock
Barry C Goff,BCG0303,dtaa.com,Barry.C.Goff@dtaa.com,Foreman
Basia C Wright,BCW0386,dtaa.com,Basia.C.Wright@dtaa.com,Technician
Basil M Kinney,BMK0943,dtaa.com,Basil.M.Kinney@dtaa.com,Engineer
Baxter N Nieves,BNN0072,dtaa.com,Baxter.N.Nieves@dtaa.com,Administrative Assistant
Beau A Key,BAK0787,dtaa.com,Beau.A.Key@dtaa.com,Foreman
Beck C Robinson,BCR0547,dtaa.com,Beck.C.Robinson@dtaa.com,Administrative Assistant
Beck P Cherry,BPC0533,dtaa.com,Beck.P.Cherry@dtaa.com,Janitor
Bell L Buchanan,BLB0079,dtaa.com,Bell.L.Buchanan@dtaa.com,Administrative Staff
Bell Q Weaver,BQW0149,dtaa.com,Bell.Q.Weaver@dtaa.com,Engineer
Benedict T Williamson,BTW0973,dtaa.com,Benedict.T.Williamson@dtaa.com,Tradesman
Benjamin H Howe,BHH0460,dtaa.com,Benjamin.H.Howe@dtaa.com,Engineer
Benjamin J Caldwell,BJC0569,dtaa.com,Benjamin.J.Caldwell@dtaa.com,Loading Dock
Benjamin X Young,BXY0648,dtaa.com,Benjamin.X.Young@dtaa.com,Foreman
Benjamin Z Hubbard,BZH0120,dtaa.com,Benjamin.Z.Hubbard@dtaa.com,Engineer
Berk A Ellis,BAE0444,dtaa.com,Berk.A.Ellis@dtaa.com,Janitor
Bernard C Gilbert,BCG0692,dtaa.com,Bernard.C.Gilbert@dtaa.com,Technician
Bertha S Miller,BSM0334,dtaa.com,Bertha.S.Miller@dtaa.com,Engineer
Bethany B Montoya,BBM0499,dtaa.com,Bethany.B.Montoya@dtaa.com,Administrative Staff
Bethany Z Mccormick,BZM0434,dtaa.com,Bethany.Z.Mccormick@dtaa.com,Tradesman
Beverly A May,BAM0466,dtaa.com,Beverly.A.May@dtaa.com,Tradesman
Beverly N Livingston,BNL0480,dtaa.com,Beverly.N.Livingston@dtaa.com,Of Council
Bevis M Le,BML0618,dtaa.com,Bevis.M.Le@dtaa.com,Engineer
Bevis T Harper,BTH0358,dtaa.com,Bevis.T.Harper@dtaa.com,Foreman
Blaine W Sampson,BWS0872,dtaa.com,Blaine.W.Sampson@dtaa.com,Security
Blair F Vasquez,BFV0911,dtaa.com,Blair.F.Vasquez@dtaa.com,Engineer
Blaze A Faulkner,BAF0379,dtaa.com,Blaze.A.Faulkner@dtaa.com,Engineer
Blossom T Hale,BTH0004,dtaa.com,Blossom.T.Hale@dtaa.com,Technician
Boris C Henry,BCH0912,dtaa.com,Boris.C.Henry@dtaa.com,Engineer
Boris C Spence,BCS0374,dtaa.com,Boris.C.Spence@dtaa.com,Engineer
Bradley G Frost,BGF0236,dtaa.com,Bradley.G.Frost@dtaa.com,Tradesman
Bradley M Robles,BMR0412,dtaa.com,Bradley.M.Robles@dtaa.com,Foreman
Branden C Moses,BCM0558,dtaa.com,Branden.C.Moses@dtaa.com,Foreman
Brandon F Osborne,BFO0438,dtaa.com,Brandon.F.Osborne@dtaa.com,Foreman
Breanna Y Burton,BYB0347,dtaa.com,Breanna.Y.Burton@dtaa.com,Tradesman
Brenda N Gardner,BNG0510,dtaa.com,Brenda.N.Gardner@dtaa.com,VP
Brendan K Morgan,BKM0116,dtaa.com,Brendan.K.Morgan@dtaa.com,Engineer
Brennan D Ingram,BDI0634,dtaa.com,Brennan.D.Ingram@dtaa.com,Engineer
Brennan I Riddle,BIR0534,dtaa.com,Brennan.I.Riddle@dtaa.com,Administrative Staff
Brent C Johnson,BCJ0800,dtaa.com,Brent.C.Johnson@dtaa.com,Engineer
Brett L Spencer,BLS0098,dtaa.com,Brett.L.Spencer@dtaa.com,Project Manager
Brian G Wells,BGW0009,dtaa.com,Brian.G.Wells@dtaa.com,Project Manager
Brianna J Michael,BJM0311,dtaa.com,Brianna.J.Michael@dtaa.com,Engineer
Brianna M Marshall,BMM0247,dtaa.com,Brianna.M.Marshall@dtaa.com,Engineer
Brielle A Harris,BAH0774,dtaa.com,Brielle.A.Harris@dtaa.com,Technician
Brielle C Mays,BCM0899,dtaa.com,Brielle.C.Mays@dtaa.com,Senior Manger
